iter,time,reward,steps,convergence
1,0.0001541689999999818,-155.74,177.3,89.61
2,0.00020991999999986355,-145.74,144.5,80.218
3,0.0008135119999999052,-30.86,46.62,70.34799160153196
4,0.0012276639999999617,63.14,27.1,60.4782163156773
5,0.0012879660000000293,70.12,30.9,51.08821631567728
6,0.0013636280000002277,71.78,25.32,41.50625460008326
7,0.0014910590000003499,32.8,19.22,31.636219257148184
8,0.0017254410000004938,24.8,25.26,22.236239237158184
9,0.0020121610000003454,28.9,27.04,12.706571237158187
10,0.002191930000000397,3.7,45.38,3.313547317596192
11,0.0024280190000003365,-90.72,121.14,3.2810671077897298
12,0.002627699000000261,-100.58,135.66,3.172006692190725
13,0.0028672010000003745,-124.12,145.98,3.1693292779322264
14,0.002953672000000296,-99.28,132.22,3.1583118247882225
15,0.003022507000000285,-112.32,135.64,3.0785203347040193
16,0.00309703100000025,74.8,21.2,2.791180921738089
17,0.0031448180000004378,-86.9,124.12,2.8050540669518065
18,0.0033649780000004625,77.98,18.02,2.8148536051106126
19,0.00339968000000046,75.88,20.06,2.6197821890282804
20,0.0034315380000005113,79.6,17.38,2.2496690149064866
21,0.003688676000000557,76.44,18.58,1.8067555206655732
22,0.003995876000000731,86.68,12.38,1.7358667437229336
23,0.004111930000000763,68.54,24.4,1.9008992077375488
24,0.0042416370000006864,74.82,21.12,1.9352801263446686
25,0.004637015000000577,58.58,30.44,1.8408568193032118
26,0.004874811000000534,89.08,9.98,1.8830784593549261
27,0.004958437000000426,77.38,16.78,2.223484617814792
28,0.005001672000000346,86.5,12.56,1.783029136676354
29,0.005095538000000399,82.5,14.6,1.888253457738299
30,0.00551651600000036,92.68,9.32,1.799271097400831
31,0.005699130000000219,84.62,13.46,2.188889535203882
32,0.0058720720000000615,87.84,10.24,1.9065911175938872
33,0.006184960999999989,92.14,9.86,1.7380084171422332
34,0.0062338849999998835,93.0,9.0,1.8245321621739437
35,0.006469404999999817,92.0,9.02,1.5309160654922054
36,0.0068226849999999395,93.02,8.98,1.9674079990185036
37,0.00689777799999991,93.02,8.98,1.854797179735541
38,0.007047395999999928,90.7,9.34,2.085465120983225
39,0.007226595999999752,92.5,9.5,1.8572077385911208
40,0.007716978999999791,92.7,9.3,1.9255838814587953
41,0.007764196999999751,93.34,8.66,1.556507969512122
42,0.007968996999999867,92.62,9.38,1.5955067058328019
43,0.008116907999999867,91.04,9.98,1.7656333214680502
44,0.008258561999999747,92.86,9.14,1.68109362312155
45,0.008410455999999789,92.98,9.02,1.9940624883760045
46,0.00851228699999984,92.52,9.48,1.5212261516689813
47,0.00877397599999985,92.34,9.66,1.6105733754342666
48,0.00882119399999981,91.4,9.62,1.6123547655029413
49,0.00891961199999991,89.64,9.42,2.0535600075703706
50,0.009080038999999873,92.6,9.4,1.99814255886947
51,0.009123842999999798,91.26,9.76,2.2439647397254157
52,0.009382686999999779,91.52,9.5,2.642940396509476
53,0.00965177199999978,92.82,9.18,2.87150340773227
54,0.009742793999999888,89.42,9.64,3.290583109172843
55,0.010124518999999887,92.44,9.56,3.4368476540926807
56,0.0102451229999998,92.78,9.22,3.47196272239776
57,0.010369709999999754,92.2,8.82,3.546969590384947
58,0.010407825999999787,85.9,10.22,3.753637378911865
