iter,time,reward,steps,convergence
1,0.0003157329999998737,-2.42,74.84,91.1
2,0.0004300800000001104,-8.74,84.1,82.82000000000001
3,0.0010769070000007375,9.88,47.96,74.37800000000001
4,0.0011730490000010363,57.88,32.36,65.936
5,0.0012128710000007814,91.76,9.26,57.27648377470001
6,0.0014973150000008317,88.62,10.44,48.5574637747
7,0.0015581860000013492,89.58,8.5,39.77389917192999
8,0.0016406750000017567,90.74,9.3,30.780002322655456
9,0.001708942000002267,90.0,9.06,21.695495158308372
10,0.0017373860000020613,87.92,9.18,13.104572924875729
11,0.0018062220000016893,87.22,8.9,11.831972699139987
12,0.0018545770000013562,92.16,8.86,10.896511508469928
13,0.0018983810000019474,91.36,9.66,10.236018440193877
14,0.0019296700000017708,89.04,9.04,9.383433781631968
15,0.0019592520000015767,92.7,9.3,8.691995442202785
16,0.0020371890000019377,91.74,9.28,9.140178412053327
17,0.002109438000002406,92.12,8.9,9.40580294632144
18,0.002137883000002283,92.86,9.14,9.6774778894467
19,0.002177137000002105,91.78,9.24,9.943800099368124
20,0.00221695900000185,92.28,9.72,9.436697920315703
21,0.002320497000002142,91.58,9.44,9.13665762458581
22,0.0024137950000024944,93.18,8.82,8.858633229238027
23,0.0024644260000030727,92.76,9.24,9.080511047972001
24,0.002517901000002709,91.94,9.08,9.517845250516489
25,0.0025474840000025978,91.8,9.22,9.314564551206193
26,0.0026328170000029516,92.86,9.14,8.538600296236261
27,0.002686861000003482,92.68,9.32,7.931381342738149
28,0.002735216000004037,92.18,8.84,8.001513740892895
29,0.002785847000003727,91.9,9.12,8.15796415770642
30,0.0028285140000035014,91.12,8.92,8.419660919398602
31,0.002859234000004207,91.32,9.7,9.240261092151787
32,0.002889385000004019,92.92,9.08,10.021387378405
33,0.0029314830000037873,92.5,9.5,9.92085949794963
34,0.003008852000004225,93.02,8.98,9.652827146399169
35,0.0030441240000040892,91.66,9.36,10.32207102076975
36,0.003074275000003901,92.86,9.14,10.231162783618775
37,0.0031055640000037243,93.24,8.76,10.192338748419582
38,0.003138560000003565,92.86,9.14,9.820412637227015
39,0.003212516000004051,93.42,8.58,9.430545338547185
40,0.0032921600000044293,92.3,9.7,9.195864554376804
41,0.0033245870000042643,93.18,8.82,9.227888617638513
42,0.0033678220000048498,92.78,9.22,9.54239282979118
43,0.003444053000005276,91.88,9.14,9.501657032424484
44,0.0034833060000050153,92.6,9.4,9.515895727869271
45,0.0035407640000046925,92.92,9.08,9.428337942662694
46,0.0035931020000044,91.94,9.08,8.897252886539064
47,0.0036352000000041684,92.78,9.22,8.7976841019804
48,0.003671608000004767,92.42,9.58,8.298501382690183
49,0.0037131370000045294,90.56,9.48,7.999376816049056
50,0.0037597860000051497,90.76,9.28,7.667812149364456
51,0.0038161060000057034,91.94,9.08,6.894951662823455
52,0.003846826000005521,92.42,9.58,5.953490335388515
53,0.00387868400000535,92.6,9.4,5.752636087869207
54,0.003903716000005275,92.36,9.64,5.07620874241606
55,0.0039270400000051,92.96,9.04,4.682281534838173
56,0.0039571910000049115,92.26,9.74,4.903153457419576
57,0.003996444000004651,93.52,8.48,4.758850605761177
58,0.004053333000004322,92.72,9.28,4.976892133909696
59,0.004113635000003946,90.26,9.78,4.896572521966678
60,0.0041614220000036894,91.32,9.7,4.831209346483343
61,0.004221155000004195,92.6,9.4,5.237665160119654
62,0.004263253000003964,92.1,9.9,5.0976980032616
63,0.0042973860000046216,92.68,8.34,5.346944175950423
64,0.004326400000004504,93.42,8.58,6.267213131799506
65,0.004367360000004261,92.5,9.5,6.598561652739491
66,0.004408889000004024,91.62,9.4,6.47929120891253
67,0.004522666000004172,92.86,9.14,6.231075398765331
68,0.0045494040000040314,92.38,9.62,6.571233943611901
69,0.004605155000003691,91.76,9.26,6.423552603307812
70,0.004630187000004504,93.04,8.96,7.039236878234048
71,0.004656356000004358,92.6,9.4,6.74015255036969
72,0.004705281000005002,92.52,9.48,7.606616352914962
73,0.004739414000004771,93.2,8.8,6.864257802708901
74,0.0048082500000052875,91.58,9.44,6.126977154938837
75,0.004907237000005615,92.46,9.54,5.537406927884451
76,0.004927148000005488,92.86,9.14,5.476437521500143
77,0.0049800550000060895,92.24,9.76,5.481725250314139
78,0.005005086000005932,93.06,8.94,4.855220952539193
79,0.005036944000006649,92.44,9.56,4.727743715428346
80,0.005076198000006471,92.26,9.74,3.8066040110556605
81,0.005131381000006208,93.12,8.88,3.343135503306093
82,0.005167790000006001,92.36,9.64,2.948147880522457
83,0.005241746000005598,93.22,8.78,2.886647541843226
84,0.00531001300000522,92.6,9.4,2.7257554843452554
85,0.0053356130000059565,92.88,9.12,2.4945983048150824
86,0.005375435000005702,92.34,8.68,2.396633470453497
87,0.005399897000005538,93.0,9.0,3.2464974809735923
88,0.005425497000005386,92.44,9.56,3.0472188124620674
89,0.00546019900000605,92.58,9.42,2.911916386162358
90,0.005514812000005698,92.58,9.42,2.8542053020263425
91,0.005555772000006343,92.88,9.12,3.6923522081892672
92,0.005575114000006209,92.8,9.2,2.852224475535289
93,0.005610954000006885,92.88,9.12,2.8071810441156106
94,0.0056479320000066835,91.56,9.46,2.820775313435165
95,0.005665567000006533,90.54,9.5,2.7965307933609043
96,0.005708803000006313,91.28,9.74,2.7708009831368177
97,0.005796981000006696,92.88,9.12,2.45945853765747
98,0.005906208000006963,92.86,9.14,2.5638911319317073
99,0.005923275000006889,89.56,9.5,2.5653482181237477
100,0.005984146000006518,91.94,9.08,2.579037273447233
101,0.006080857000006823,93.22,8.78,1.6272203567899706
102,0.006116698000006693,90.62,9.42,1.643775765447975
103,0.006228769000006018,93.0,9.0,1.5933977544935385
104,0.006255507000005878,92.92,9.08,1.5049521095066223
105,0.006291347000005665,92.78,9.22,2.5912708328173713
106,0.006327187000005452,91.88,9.14,2.4825586475604373
107,0.0063988670000059145,93.1,8.9,2.7241791569802403
108,0.006446654000005658,91.86,10.14,3.3457053510398524
109,0.0065075250000052876,89.88,9.18,4.455380032924188
110,0.006559862000004912,90.5,9.54,4.393204595379937
111,0.006637800000004468,91.38,9.64,4.405454363712481
112,0.006688431000004158,93.16,8.84,4.371623492564078
113,0.0067265470000039684,92.44,9.56,4.399173864488627
114,0.006769214000003743,92.92,9.08,4.357905358198364
115,0.006807899000003559,93.18,8.82,3.3053709313632367
116,0.006850566000003333,92.8,9.2,3.29481012965298
117,0.006948415000002761,92.74,9.26,2.5397918187402584
118,0.0069944950000024875,90.78,9.26,1.7504757188747788
119,0.00713501100000169,92.54,9.46,0.6013175464656101
120,0.007201002000001289,91.54,9.48,0.7167098734405798
121,0.007290317000000712,92.3,9.7,1.6406579566455306
122,0.007390442000001052,92.34,9.66,1.624335448354897
123,0.007455295000001527,92.88,9.12,1.6044952978809648
124,0.007508771000001246,92.34,9.66,1.60492059555733
125,0.007564523000001877,91.92,9.1,1.5707074831837857
126,0.007611741000002503,90.42,9.62,1.5789102903335972
127,0.0076362030000023395,92.66,9.34,1.8546887034970791
128,0.0076834210000020775,92.66,9.34,1.8583744527770345
129,0.0077266570000018575,92.82,9.18,1.8826097739550787
130,0.007749412000001676,92.98,9.02,2.4322512186616647
131,0.007785252000002352,92.48,9.52,1.4781079208256043
132,0.007835883000002042,92.68,9.32,1.5244370092646715
133,0.007858069000001855,92.98,9.02,1.509185275532067
134,0.00790699400000161,91.08,8.96,1.6663006753149912
135,0.007941696000001386,92.0,10.0,1.6656810665771555
136,0.007986069000001983,93.08,8.92,1.6666225880221188
137,0.008080505000002347,92.4,9.6,1.135335884068104
138,0.008114638000002117,92.24,9.76,1.137790792567222
139,0.0081430820000028,92.1,8.92,1.9077125139160724
140,0.008238655000002204,91.56,9.46,1.2414549465341604
141,0.008273358000002062,91.6,9.42,1.2314225285457279
142,0.008317163000001848,92.88,9.12,1.2698100068560332
143,0.008363243000001575,92.2,9.8,1.268473131971201
144,0.00838770500000141,92.54,9.46,1.1396313328780063
145,0.008411598000001241,92.26,9.74,1.1632242345644623
146,0.0084457310000019,92.8,9.2,1.1450469103993766
147,0.008467917000001712,92.38,9.62,1.7945248469793564
148,0.00850717000000234,92.94,9.06,1.7808636895132506
149,0.008543579000002133,92.8,9.2,0.9858822966208152
150,0.00863517000000158,92.0,9.02,1.0008917732312554
151,0.008664752000001386,92.64,9.36,1.0104323577457195
152,0.008698886000001238,92.82,9.18,0.9480575556018891
153,0.008722211000001145,92.04,8.98,0.9672363158976637
154,0.00875463800000098,92.88,9.12,0.9618303950436229
155,0.008786495000000727,92.52,9.48,1.4164826733646207
156,0.008837695000000423,92.86,9.14,1.438814550822356
157,0.008883207000000226,90.8,9.24,0.8423340051935881
158,0.00892075400000003,92.52,8.5,0.840169570446578
159,0.008960575999999776,92.76,9.24,0.8633575579186783
160,0.00901575799999943,92.82,9.18,1.800607701815122
161,0.00904590900000013,93.08,8.92,2.9232062450407215
162,0.009074352999999924,91.92,9.1,2.954279597897926
163,0.00912043299999965,91.94,9.08,2.9917807523435687
164,0.009150014999999456,90.98,9.06,2.9737396428767626
165,0.009184717999999314,92.24,9.76,2.855069905875437
166,0.009221126999999107,92.96,9.04,2.8520967623091336
167,0.009281997999999625,92.9,9.1,2.793997095522675
168,0.009391224999999004,92.88,9.12,3.116651107379311
169,0.009413979999998823,92.64,9.36,3.1706364164291516
170,0.009485659999999285,92.9,9.1,2.221592970708086
171,0.009596023999999481,93.32,8.68,1.115776835686269
172,0.009628450999999316,92.94,9.06,1.0661187287339289
173,0.009700130999999779,92.68,9.32,1.1198567988050727
174,0.009726867999999556,93.12,8.88,1.1117741959440905
175,0.00976441499999936,92.88,9.12,0.7751036917181118
176,0.00981504599999905,92.14,8.88,2.0748427498623294
177,0.009878192999999591,92.56,9.44,2.079327197897006
178,0.009908343999999403,92.92,9.08,1.7398461120255917
179,0.009939632999999226,92.44,9.56,1.6618322735591646
180,0.009981729999998912,91.9,9.12,1.6582389489852503
181,0.010030654999999555,92.92,9.08,1.7845450819561193
182,0.01005568699999948,92.8,9.2,1.9860709494092745
183,0.010087545000000198,92.94,9.06,1.9605295455396898
184,0.010130780999999978,92.68,9.32,1.9550248367797038
185,0.010183687999999691,93.42,8.58,2.0078274392308115
186,0.010212132999999568,91.02,10.0,0.6902241350247508
187,0.010278692999999173,91.32,9.7,0.7180743221023533
188,0.0103168079999989,91.9,9.12,0.7516437971545514
189,0.010372558999999448,91.1,8.94,1.2305111085186353
190,0.010389625999999375,92.92,9.08,1.4209896918776999
191,0.010409537000000135,91.86,9.16,1.2778362428432921
192,0.010439687999999947,92.24,9.76,1.073158096443428
193,0.01050852300000038,92.3,9.7,0.9840849805925422
194,0.010535260000000157,92.62,9.38,0.9956071818118183
195,0.010573944999999974,92.94,9.06,0.9440721283298451
196,0.010598975999999816,92.58,9.42,1.030409323595277
197,0.010629696000000521,92.54,9.46,1.0155337667035034
198,0.010711047000000029,92.66,9.34,0.9998815999050172
199,0.010745748999999805,93.3,8.7,0.5156005031608437
200,0.010805481999999422,92.0,9.02,1.1826865356019822
201,0.010869196999999886,93.38,8.62,1.2022652294354272
202,0.010910724999999566,92.88,9.12,1.2063152761809093
203,0.01093916899999936,91.96,9.06,1.2118039677896604
204,0.010976146999999159,90.44,9.6,1.2291799931087326
205,0.011033603999998753,92.5,9.5,1.2048191430251776
206,0.0110671689999986,91.44,9.58,2.7514408786439235
207,0.011094474999998383,91.86,9.16,2.779716463772027
208,0.011120643999998236,91.32,9.7,2.7739278046989555
209,0.011174119999997956,92.28,9.72,3.224136928864847
210,0.011232715999997644,91.9,9.12,2.454070524818911
211,0.011265711999998373,92.84,9.16,2.4636327312825683
212,0.011365266999998624,92.8,9.2,2.453458095738695
213,0.011424431999998319,92.24,9.76,2.455890052746004
214,0.011516022999998654,92.42,8.6,2.517065338429485
215,0.011566084999999227,91.62,9.4,2.546904171331299
216,0.01159225399999908,91.6,9.42,1.0151231900289885
217,0.011617853999998928,92.4,9.6,1.4936303948837264
218,0.011659951999998697,90.78,10.24,1.5300381908768004
219,0.011713427999998416,93.52,8.48,1.1077426731286864
220,0.011754956999998178,90.04,10.0,2.110606242330389
221,0.011815258999997802,92.88,9.12,2.094140557676551
222,0.011900591999998156,92.96,9.04,2.8071867152425627
223,0.011954635999998686,92.66,9.34,2.801779869610894
224,0.011981941999998469,92.64,9.36,2.715225445802473
225,0.012021195999999179,92.22,9.78,2.7097352825992997
226,0.01207296499999888,92.08,8.94,2.6705410451488873
227,0.012142937999999326,92.66,9.34,2.148760172459437
228,0.012193568999999016,92.36,9.64,2.1473427009081334
229,0.012251595999998699,92.66,9.34,2.13414804347605
230,0.012274919999998524,92.38,9.62,1.0449382417898625
231,0.012311328999998317,91.3,9.72,1.5208679511646834
232,0.012367648999997982,92.86,9.14,0.8236991818519378
233,0.012404057999997775,92.6,9.4,1.9836823846331122
234,0.01246037799999744,92.8,9.2,2.8951231104883925
235,0.012504182999997226,92.74,9.26,2.8797691785366037
236,0.012550831999996959,92.5,9.5,2.847462328454472
237,0.01259634299999668,90.9,10.12,2.915137437297923
238,0.012620804999996516,91.9,9.12,2.9097253089175448
239,0.012648111999996381,91.4,9.62,2.8989108472737724
240,0.0127015879999961,93.1,8.9,2.8983159172022663
241,0.012736290999995958,93.16,8.84,2.510964082675738
242,0.012809108999995544,93.08,8.92,2.534741660598441
243,0.0128574639999961,92.92,9.08,1.4246175435573751
244,0.012892165999995875,89.88,9.18,0.5210961791464698
245,0.012916627999995711,91.64,9.38,0.5411371053080629
246,0.012974085999995388,91.86,9.16,0.6817277897655458
247,0.01302414799999596,88.34,9.74,0.9659979970252422
248,0.013059419999995825,92.84,9.16,1.5019676889947888
249,0.013100948999995587,92.12,8.9,1.5067485832775176
250,0.013161250999995211,90.66,9.38,1.509952227642667
251,0.013187419999995953,91.42,9.6,1.4173088793541624
252,0.0132431709999965,92.54,9.46,1.3997047947874008
253,0.013294370999996197,93.0,9.0,1.355610693979422
254,0.013345570999996781,92.5,9.5,1.3905864216098238
255,0.013410992999997262,93.28,8.72,1.3878568192761236
256,0.013451383999997013,92.18,9.82,1.2410858987697195
257,0.013476414999996855,92.32,9.68,0.9136061218288887
258,0.013500876999996692,93.04,8.96,0.3297342981772019
259,0.013520787999996564,93.12,8.88,0.3539662766068048
260,0.013606120999996918,92.88,9.12,0.3969025825043374
261,0.013627737999996725,91.6,9.42,0.4650254227011317
262,0.013655613999996596,91.46,9.56,0.4520956445103167
263,0.013688039999996349,92.64,9.36,0.4671353056386778
264,0.013731843999996052,93.06,8.94,0.6461808685804605
265,0.013775647999995755,92.44,9.56,0.645398772239836
266,0.013797833999996456,91.2,9.82,0.6693816662099387
267,0.013827416999996345,92.5,9.5,0.663738688250627
268,0.013858705999997056,92.62,9.38,0.6701610682326254
269,0.013914456999996716,92.06,8.96,0.6424249498034846
270,0.014032216999996905,92.0,9.02,0.6367208109961915
271,0.014095362999997363,92.72,9.28,0.7140226673242175
272,0.014149975999997899,93.58,8.42,1.4237826825857263
273,0.014213121999997469,91.44,9.58,1.4055428438058322
274,0.014238153999997394,93.06,8.94,1.187343809841923
275,0.01430300699999787,92.86,9.14,1.188773651811465
276,0.01435363799999756,92.86,9.14,1.174965823594468
277,0.014400286999997292,93.22,8.78,1.1711567485391896
278,0.014469690999996843,89.28,9.78,1.1712323190539322
279,0.01449813599999672,93.06,8.94,2.1591120866978897
280,0.014575504999997158,93.18,8.82,2.1258798417857876
281,0.014598828999996982,92.22,9.78,2.544763393559734
282,0.014657993999996677,92.28,9.72,2.023686876708531
283,0.01469440299999647,91.92,9.1,2.1850822981378064
284,0.014717158999996371,92.94,9.06,2.2228186409942827
285,0.014784856999995988,92.94,9.06,2.1992665942066316
286,0.014825248999995821,92.76,9.24,2.6963832250111612
287,0.014899204999995419,93.02,8.98,2.6836469896642288
288,0.014947560999996057,92.66,9.34,2.681829162694024
289,0.014977142999995863,90.8,9.24,1.777314398031749
290,0.015025497999996418,93.32,8.68,1.7863918409315662
291,0.015058493999996259,92.78,9.22,1.2310682264434452
292,0.015078973999996137,92.56,9.44,1.0858877655728425
293,0.01511538299999593,91.7,9.32,0.946458379968588
294,0.015152360999996617,92.84,9.16,1.075812835551727
295,0.015196734999996409,91.4,9.62,1.7716206624545883
296,0.015244521999996152,92.9,9.1,1.2667871069508774
297,0.015272397999996024,91.8,10.2,1.293099106188377
298,0.01531449499999571,92.04,8.98,1.296751323468494
299,0.015357730999996377,92.88,9.12,1.2145163520788298
300,0.015444201999996743,92.54,9.46,1.224306739795156
301,0.015539206999996225,92.54,9.46,1.2272241690927412
302,0.015568219999996913,92.02,9.0,1.251743202550679
303,0.015613161999996628,92.48,9.52,1.2286842893875698
304,0.01564558799999638,92.46,9.54,1.0733701525013597
305,0.015678014999996215,91.56,9.46,0.4319643262402096
306,0.015726938999995888,92.72,9.28,0.40444267025633707
307,0.01574684999999576,92.38,9.62,0.3879733411268404
308,0.01578212099999554,90.5,9.54,0.4139829415139175
309,0.015861195999995914,92.26,9.74,1.357255958431002
310,0.015898742999996607,92.5,9.5,1.4273574506119564
311,0.015930600999996436,92.84,9.16,1.43364679968627
