iter,time,reward,steps,convergence
1,0.0001376719999974796,-122.52,115.02,93.69
2,0.00040959999999756747,-29.76,106.84,84.13037999999999
3,0.0004875369999943757,24.92,71.02,74.53348180542
4,0.0007947369999925513,-104.16,142.8,65.64401024137611
5,0.0009011189999945657,-3.24,70.88,59.11919114912284
6,0.0011053499999924554,70.12,28.94,53.835617645401406
7,0.0011383449999939899,85.48,10.64,44.26761205438004
8,0.0011650829999929613,92.08,9.92,34.726282215108355
9,0.0011884069999936742,77.98,12.26,25.513635527352562
10,0.0012214029999917386,82.44,11.72,16.38292727185774
11,0.001315838999992991,71.66,30.34,12.293411075026487
12,0.00139093199999607,67.64,28.48,12.514568858494846
13,0.0014119809999932897,56.72,45.28,12.861161533029042
14,0.001436442999992238,75.3,26.7,12.551090214106415
15,0.0014768339999911007,8.2,60.48,10.262901387256928
16,0.001542256999993441,83.98,11.16,6.33096826236383
17,0.0015877679999931615,78.8,21.24,6.454215113333956
18,0.0016548969999909957,9.9,48.98,6.938036787193563
19,0.0017402299999922377,76.2,23.84,7.038059242213204
20,0.0017692429999947024,90.3,9.74,6.703548636415961
21,0.0018358029999916425,85.58,10.54,7.459018262521534
22,0.001917153999990262,65.24,28.92,7.305563704538477
23,0.0019808699999899204,88.28,10.78,6.849926848739993
24,0.00203491499999231,74.7,25.34,6.788452166200193
25,0.002059377999991341,74.56,24.5,6.425187382978452
26,0.002157226999990769,76.72,25.28,6.304718467376463
27,0.0022095649999904765,73.88,23.22,9.910650455062271
28,0.0022903469999917547,88.92,10.14,13.076827198567685
29,0.002342115999994121,26.26,69.8,13.238908123628295
30,0.002421759999997164,74.72,27.28,13.730342509472118
31,0.0024627199999969207,92.8,9.2,13.212098223050493
32,0.0025537419999963618,92.4,9.6,13.354180263604679
33,0.0025833239999961677,92.66,9.34,14.296344041420298
34,0.00261745799999602,91.54,9.48,14.277678787013992
35,0.0026487469999949553,79.38,22.62,18.049486130167057
36,0.0026999469999964276,91.96,9.06,18.160112907882432
37,0.002731235999995363,89.16,12.84,14.456501710166076
38,0.002817138999994029,93.1,8.9,10.70660290144931
39,0.0028524099999955865,92.98,9.02,10.165817961457027
40,0.0028905259999980615,91.74,9.28,9.835097999159622
41,0.0029394499999995105,77.58,24.42,9.397424928847308
42,0.0030247829999972,92.3,9.7,9.540674979779324
43,0.0030651739999996153,77.24,24.76,8.781911193997963
44,0.003110684999999336,66.02,31.08,10.217705390021182
45,0.003181227000002451,74.22,26.8,6.063249726360044
46,0.003203414000001459,74.9,27.1,5.882499057661296
47,0.0032432359999994276,87.3,12.74,6.08225033158859
48,0.0032682679999993525,92.6,9.4,6.275652709433466
49,0.0032950060000018766,64.02,37.98,6.263991467250817
50,0.0036056190000017807,56.7,45.3,6.70945656637007
51,0.00370403600000202,64.12,36.9,7.355836867994064
52,0.0037381690000017898,57.96,44.04,7.548149129875222
53,0.0038656000000045765,78.26,23.74,8.238647829394582
54,0.0039025770000051807,73.36,24.72,6.97702283272523
55,0.003928746000003258,66.14,32.92,7.459034754830171
56,0.004005546000001914,78.52,23.48,7.2617590724894026
57,0.0040402480000025776,71.88,29.14,7.094019074818969
58,0.0040692610000014895,92.18,8.84,7.08637974308115
59,0.004093153999999544,92.46,9.54,7.027286557921156
60,0.004130700000001042,92.24,8.78,6.481037502484621
61,0.004162558000000871,91.76,9.26,5.739418529243788
62,0.004184744999999879,73.4,28.6,5.247341331129204
63,0.004225136999998824,93.26,8.74,4.44764858219344
64,0.004253581999996925,93.26,8.74,4.457758659372317
65,0.004287145999995801,56.5,40.6,3.9888793768759414
66,0.004330949999996392,64.12,34.94,4.085159836380898
67,0.004355980999999787,89.1,10.94,4.060740423373185
68,0.0044031980000021065,43.76,57.26,3.983916414948476
69,0.004458381000002731,84.38,14.68,3.9737253988833885
70,0.0044885319999998785,91.9,9.12,3.655425440891301
71,0.004508443999998946,89.54,9.52,4.049830486292312
72,0.004556230999998689,73.12,25.94,3.9818196710502987
73,0.004615394999998301,24.3,72.68,7.7636379428481685
74,0.004766149999998248,76.74,25.26,7.2195978586685285
75,0.004836691999997811,90.92,10.1,7.186173064667185
76,0.004899268999999151,92.76,9.24,7.59719151693498
77,0.004992565999998533,78.32,22.7,7.906204698670074
78,0.005039783999997383,92.82,9.18,8.34603460560673
79,0.005059125999995473,91.42,9.6,8.558897357778196
80,0.005082449999996186,90.2,9.84,9.497318034478852
81,0.005106343999994323,91.96,10.04,9.588395648779983
82,0.005131374999994165,91.28,9.74,10.672675688870424
83,0.005275871999995019,92.4,9.6,7.345816908311046
84,0.005357791999994532,92.86,9.14,7.423364136516095
85,0.00542719599999586,93.06,8.94,7.709323538140753
86,0.005460191999997477,72.94,27.1,8.342611217345446
87,0.005505702999997197,92.6,9.4,7.938032248507826
88,0.005528457999997016,91.94,10.06,7.4521582921572245
89,0.005546092999995977,92.7,9.3,7.148396546359509
90,0.005629150999997279,-142.26,171.54,7.717441469713355
91,0.005718465999997591,89.48,10.56,7.596231566174414
92,0.005786732999997213,69.68,29.38,7.131547303351172
93,0.005840777999999602,89.98,10.06,6.717343316597995
94,0.0058606890000021394,89.3,10.74,7.45422237440783
95,0.005884014000002935,92.26,9.74,10.40610593420188
96,0.005906770000002837,93.18,8.82,10.188860167339033
97,0.005928957000005397,91.8,10.2,10.343244768495424
98,0.005955125000003392,92.38,9.62,10.625557998056335
99,0.006005187000003076,-76.46,134.08,10.730489523742119
100,0.006091658000002553,91.58,9.44,9.671283410887273
101,0.006201454000002826,-60.12,124.84,9.843371733983005
102,0.006265169000002402,90.8,9.24,10.002487556998199
103,0.006344813000001892,93.44,8.56,10.339906195295244
104,0.006370413000002628,93.44,8.56,9.611006436451174
105,0.00639316900000253,92.68,9.32,6.95390235906748
106,0.00644038700000138,76.92,25.08,6.073105179343827
107,0.006475090000002126,41.12,59.9,6.0641780419236
108,0.006516050000001883,72.12,29.88,5.888310540149609
109,0.006558716000000686,93.0,9.0,5.925234238006349
110,0.006674769000003522,77.72,24.28,5.984366308558099
111,0.006751000000001284,77.36,24.64,5.805492770012942
112,0.006808458000001849,74.78,26.24,5.132062474761812
113,0.006851694000001629,91.16,8.88,4.987944716994503
114,0.0068727430000024015,90.68,9.36,5.005902398774678
115,0.006896067000003114,88.2,9.88,4.461573709708686
116,0.006925081000002109,88.24,9.84,4.692253633787215
117,0.006946130000002881,92.3,9.7,4.7491218553296335
