iter,time,reward,steps,convergence
1,0.001227662999980339,-306.65,300.0,94.1166
2,0.00223232099997972,-376.43,300.0,84.46735062482784
3,0.003191467999982933,-503.94,300.0,79.1032521336044
4,0.004102258999978403,-733.02,300.0,69.38601787378975
5,0.004982329999990043,-934.75,295.9,63.90974771572761
6,0.005806080999974483,-430.55,300.0,58.61066564966696
7,0.007128178999977308,-684.48,299.99,52.79019464966696
8,0.008061156999985997,-526.71,300.0,47.51987090003303
9,0.008929851000004874,-670.63,300.0,42.15765267161611
10,0.009728002000002789,-680.29,299.44,32.48345453687238
11,0.0105750769999986,-939.16,298.97,32.00725733262045
12,0.011450598000010359,-890.73,298.45,36.367149597015825
13,0.012901834000018653,-927.55,297.59,36.3540762365257
14,0.014177852000045732,-377.16,298.86,41.05190545892155
15,0.015431683000059593,-345.04,300.0,36.90726940015493
16,0.016418137000044908,-379.11,300.0,34.8619889937113
17,0.01723051000004716,-392.9,300.0,35.74011800351845
18,0.01804857200005472,-407.43,300.0,36.07332666325735
19,0.01881714100005638,-365.25,300.0,36.153903669916744
20,0.019633497000057787,-382.32,300.0,40.10110305640346
21,0.02040832400004433,-357.07,300.0,40.13773036690515
22,0.021208751000045822,-353.48,300.0,40.12244866453693
23,0.021972200000021758,-343.77,299.95,40.62246714715052
24,0.02272996000002081,-326.48,300.0,40.2499632745693
25,0.023471792000037794,-375.3,300.0,44.4849038950194
26,0.024223863000031542,-327.73,300.0,46.424278851903765
27,0.024965125000051103,-338.8,300.0,46.874174360375115
28,0.025712645000027123,-362.78,300.0,46.746646908505895
29,0.026469268000028023,-339.24,300.0,46.65688921975057
30,0.02719517100001667,-340.16,300.0,47.24685762560329
31,0.027929037999996353,-371.49,300.0,47.136276861298306
32,0.028668025000001762,-384.52,300.0,50.48852946105315
33,0.029410424999980478,-410.8,300.0,49.93249588470286
34,0.03013462100000197,-655.13,299.66,49.9663786719194
35,0.030850853000004008,-583.66,300.0,50.382832912021684
36,0.032096720000026835,-528.13,300.0,50.356049421737524
37,0.03299329000000739,-496.99,300.0,49.4809376615974
38,0.03366685500000699,-386.29,300.0,49.26319299820333
39,0.0343500909999932,-376.76,300.0,49.384492225728955
40,0.035020242000001645,-363.73,300.0,49.11080296824091
41,0.03570575399999143,-612.15,299.47,49.139551278844195
42,0.036427104999972926,-561.32,300.0,45.84708891010997
43,0.037151869999973997,-563.36,300.0,45.88961476022886
44,0.03790963000000147,-535.09,300.0,46.437927576175255
45,0.03865430599998376,-601.63,300.0,47.060805907371275
46,0.03938532799998029,-604.11,300.0,47.085344676620025
47,0.04014195099998119,-652.45,300.0,46.5225691729125
48,0.04088435099998833,-585.58,300.0,46.56769131767855
49,0.04161082199996713,-703.96,296.85,46.55326303839688
50,0.04231795099994429,-526.25,299.63,46.9878778768227
51,0.04303759599994805,-596.07,299.58,51.49268022427466
52,0.043753257999952666,-492.16,300.0,47.23396649472226
53,0.04445299099992894,-525.73,300.0,42.87851674127903
54,0.045161825999940675,-470.09,300.0,42.409941568023946
55,0.04588886699994532,-541.52,300.0,41.762242182904984
56,0.04654024499996012,-565.31,299.45,41.844152854109616
57,0.04718479699997147,-520.25,299.41,42.63923597473395
58,0.047850965999970185,-487.75,300.0,42.59624467801476
59,0.04852566899998578,-510.21,300.0,42.82588125131115
60,0.049144619999992756,-527.49,299.2,42.400120842177195
61,0.04979315400001383,-545.2,298.23,37.90776952291563
62,0.05042803500001014,-402.67,300.0,42.03101458480232
63,0.0510600710000233,-466.71,299.02,46.71748554603805
64,0.051672765000034815,-699.3,298.95,47.05057760985288
65,0.0522803380000596,-657.17,299.62,50.46479394396061
66,0.05289018700005954,-794.01,300.0,50.78108083665664
67,0.053963681000055885,-692.29,298.31,49.286675848802986
68,0.05458035700004871,-572.44,299.83,49.36386974051011
69,0.05520784200004414,-729.2,298.38,49.156218997725986
70,0.05582622500003254,-549.92,299.32,49.14618581085563
71,0.05645655400005012,-495.4,299.58,49.42128490110313
72,0.057097691000052464,-494.38,299.37,49.45999896363374
73,0.05774565600006554,-463.03,300.0,48.72735392429935
74,0.05838906900007146,-411.55,299.27,50.797664433803284
75,0.059045567000083565,-340.56,300.0,47.54248474267494
76,0.05967987900007188,-308.21,300.0,47.24753074038739
77,0.06034263400007944,-387.35,300.0,48.540588165306794
78,0.06098149600009606,-358.04,300.0,47.88072778085864
79,0.06165164800009393,-371.4,295.53,47.4188003474743
80,0.06234171100007302,-385.7,298.23,47.51088870494512
81,0.06301300000009746,-408.05,296.17,47.40573280198193
82,0.06367689300012103,-418.61,297.43,43.05602121821259
83,0.0648909020001156,-417.09,286.79,44.46876761601236
84,0.06590181800012829,-386.45,300.0,42.550959407860475
85,0.06695710700012114,-396.65,299.45,41.90470546265286
86,0.06774160500012272,-453.27,300.0,41.71584347240035
87,0.06854772100012951,-404.4,296.67,41.24675029896035
88,0.0699119170001552,-434.72,296.93,37.64684569508479
89,0.07092909100015277,-360.16,300.0,38.445662230790155
90,0.07227110000013681,-423.45,299.14,38.71451961744725
91,0.07389982900014047,-343.47,298.31,37.300143160141424
92,0.07470025600014196,-458.82,299.57,41.70483467289901
93,0.07550466500012476,-404.27,269.27,40.678528985745174
94,0.07631476300011286,-385.99,298.32,41.413902126760945
95,0.07712315400010539,-361.57,297.17,42.13284718970486
96,0.07806011400009538,-359.84,299.27,42.28877974340624
97,0.07892539400009468,-322.48,300.0,43.0468234667647
98,0.07983447900011242,-326.58,298.7,47.21792082186359
99,0.08060134100011851,-372.55,297.35,47.21055419531241
100,0.08134601600011138,-362.62,295.74,46.881882195832176
101,0.08213620300011826,-404.49,295.94,43.905500462711224
102,0.08286893200013878,-391.83,299.39,43.816088224317994
103,0.08363181300015299,-388.71,298.9,43.91105185618558
104,0.08639035600015177,-384.67,299.27,42.770247897064614
105,0.0871219470001563,-408.08,297.4,41.80328650386172
106,0.08785809000016798,-359.78,298.6,42.67817266226939
107,0.08867217000019423,-357.43,299.59,45.71856967021999
108,0.08938328100018111,-431.46,295.75,45.59569349065324
109,0.09009553000015558,-402.4,295.72,45.56075602278425
110,0.09080607200016289,-436.28,294.97,45.60876022362699
111,0.09150865000017916,-439.65,298.05,50.02989015442319
112,0.09222658800015893,-415.54,299.2,49.89326538637481
113,0.09298434800015798,-370.17,297.61,45.48349290231207
