iter,time,reward,steps,shape
2,0.012601461000000008,98.31,3.69,2
2,0.02380516199999999,95.65,6.35,3
3,0.05996830100000006,93.26,8.74,4
3,0.07663276800000007,90.58,11.42,5
3,0.1447572319999999,85.66,16.34,7
4,0.2980819339999998,77.51,24.49,10
6,0.7115686999999999,64.14,37.86,15
7,1.6799379000000005,50.51,51.49,20
8,3.2769607900000004,37.35,64.65,25
8,5.053329366,24.3,77.7,30
10,7.713924470000002,9.85,92.15,35
11,13.408559619000002,-2.68,104.68,40
13,22.352876189000014,-30.39,132.39,50
