iter,time,reward,steps,shape
15,0.053319127,98.54,3.46,2
18,0.031534658,95.86,6.14,3
22,0.081545126,93.17,8.83,4
26,0.13103449,90.39,11.61,5
30,0.289462127,85.45,16.55,7
35,0.427152619,76.65,25.35,10
43,0.996338061,63.44,38.56,15
51,1.623092231,51,51,20
65,3.098370019,37.26,64.74,25
69,4.66546138,22.69,79.31,30
78,7.465645928,10.41,91.59,35
90,11.20759558,-4.21,106.21,40
107,20.04749825,-30.56,132.56,50
