iter,time,reward,steps,convergence
1,0.0003049239999999287,-101.46,132.06,98.1
2,0.00037432799999947974,-40.2,75.38,95.36440152863582
3,0.0005575100000001498,33.74,13.38,91.9361847666971
4,0.000582540999999992,41.18,13.78,87.11328227106932
5,0.0006183810000006673,28.94,15.24,78.0413051844689
6,0.0006690130000013284,35.88,13.2,68.79046675893218
7,0.0006963200000011938,23.32,14.0,59.381191834322216
8,0.0007298850000019286,33.68,13.44,49.797832983455606
9,0.0007571910000034876,27.46,15.74,40.128441144595605
10,0.0007822220000033298,27.22,14.02,30.487752577435078
11,0.0008174930000031111,36.04,13.04,21.745892578891304
12,0.0008413860000029416,32.54,12.62,19.317539360255573
13,0.0008686920000027243,58.94,21.5,22.13584316629317
14,0.0009176160000041733,90.18,9.86,21.139057668581092
15,0.000944922000003956,91.32,9.7,23.750262774654146
16,0.0009631270000038938,91.52,9.5,26.016420308570513
17,0.0009870200000037244,89.8,10.24,26.273216913775553
18,0.001030825000002622,92.66,9.34,26.82255014616468
19,0.0010547190000025353,92.8,9.2,27.174291574774777
20,0.0010786120000023658,92.52,9.48,27.314457717734104
21,0.001097385000003115,92.44,9.56,27.284293022944702
22,0.0011258290000029092,92.66,9.34,23.342832740948694
23,0.0011451720000028587,91.94,9.08,14.658617026904285
24,0.0011639450000036078,93.12,8.88,11.407562264481905
25,0.0011963720000025546,91.56,9.46,8.381488546152825
26,0.0012179900000024446,92.56,9.44,5.651885799807886
27,0.0012390380000031342,93.56,8.44,4.99204172481023
28,0.0012578120000021897,91.66,9.36,4.29876618431396
29,0.0012765860000030216,93.02,8.98,3.889297823491982
30,0.0013027550000028754,91.22,9.8,3.7900660109838897
31,0.0013266480000027059,92.58,9.42,11.741830010622506
32,0.0013505410000025364,91.1,9.92,11.693590124336152
33,0.0013698840000024859,90.72,9.32,11.595945548596791
34,0.0013994660000040682,92.78,9.22,11.440853957830422
35,0.0014182400000031237,91.72,9.3,15.838706879447392
36,0.0014370130000038728,92.56,9.44,15.981115703215071
37,0.0014637510000046206,92.88,9.12,23.561411608216932
38,0.001488213000005345,92.9,9.1,23.962508762387518
39,0.0015121060000051756,92.7,9.3,24.294809945268174
40,0.001538844000004147,92.66,9.34,24.640462096762253
41,0.001560462000004037,93.24,8.76,17.401772198401822
42,0.0015792350000030098,92.94,9.06,17.308162997642608
43,0.0015980080000037589,92.78,9.22,17.095580087819165
44,0.001622470000002707,92.56,9.44,16.970295287077512
45,0.0016531900000025246,91.48,9.54,12.76565806927744
46,0.0016742390000015206,92.04,9.96,12.929606774162062
47,0.0016981320000013511,92.7,9.3,5.8531563236298725
48,0.0017169050000003239,93.28,8.72,5.5355716444270495
49,0.0017385230000002139,92.96,9.04,5.201169925842727
50,0.0017646920000000677,91.86,9.16,10.899963157532266
51,0.0018011009999998606,93.24,8.76,10.944340278781965
52,0.0018198739999988334,92.7,9.3,10.96735765812816
53,0.0018386469999995825,91.8,9.22,14.542635797829174
54,0.0018596960000003548,92.64,9.36,14.48127283984904
55,0.0018813140000002448,92.88,9.12,14.125999151969774
56,0.0019108960000000508,92.66,9.34,13.93501812661172
57,0.0019296700000008826,92.3,9.7,13.541654654677007
58,0.0019564080000016304,92.68,9.32,13.836242709794487
59,0.0019808700000005786,92.68,9.32,14.114011995234147
60,0.0020053319999995267,90.42,9.62,13.287353914844786
61,0.002030932000000263,93.08,8.92,12.765665395142998
62,0.0020588080000010223,92.46,9.54,17.503550516391517
63,0.002082701000000853,93.26,8.74,14.029688733912701
64,0.002114559000000682,92.7,9.3,14.046778779082462
65,0.0021390210000014065,91.48,9.54,14.371158986811981
66,0.002168034000002095,91.84,9.18,14.777534932061844
67,0.002189652000001985,92.54,9.46,14.825470571826282
68,0.0022135450000018153,91.44,9.58,18.231109131429047
69,0.002232318000000788,91.66,9.36,17.864303215681627
70,0.0022562110000006186,91.58,9.44,12.517313670972882
71,0.0022920509999995176,92.72,9.28,12.519194454615942
72,0.0023182200000011477,93.04,8.96,7.409853972859599
73,0.0023563360000018463,92.98,9.02,7.3089624334588
74,0.0023830730000025113,92.94,9.06,7.295871118266497
75,0.0024126560000024,92.86,9.14,7.375059592572687
76,0.0024319980000022667,92.9,9.1,7.1014805808234645
77,0.002457029000002109,92.06,8.96,7.51779981581678
78,0.0024792160000011165,92.68,9.32,4.082120024354344
79,0.002497420000002748,91.9,9.12,8.747543871392153
80,0.0025241580000034958,92.8,9.2,9.071848705130575
81,0.0025457760000033858,92.38,9.62,9.054577853178237
82,0.002567393000003193,92.96,9.04,9.217199287170104
83,0.0025912860000030236,92.72,9.28,9.299096199829945
84,0.002610629000002973,93.1,8.9,13.395490682623915
85,0.00262997100000284,93.02,8.98,13.101621640451844
86,0.0026629670000026806,92.2,8.82,13.2593267816559
